OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
1307139,04092015885,THE OAKS AT WHITAKER GLEN,501 E WHITAKER MILL RD ,,RALEIGH,NC,27608-2646,(919) 839-5604,2011/01/12 00:00:00+00,Restaurant,2545,-78.63302872,35.80881927,M
1307140,04092012212,Starbucks #8270,7498 CREEDMOOR RD ,,RALEIGH,NC,27613-1664,(919) 846-0633,1998/03/25 00:00:00+00,Restaurant,2556,-78.67820041,35.88787167,M
1307141,04092021871,STEVE'S MINI MART,807 W GARNER RD ,,GARNER,NC,27529,(919) 779-7713,2015/09/03 00:00:00+00,Food Stand,2562,-78.61343438,35.71080189,M
1307142,04092017552,STARBUCKS #29679,2815 ROGERS RD ,SUITE 100,WAKE FOREST,NC,27587,(919) 971-0664,2017/03/03 00:00:00+00,Restaurant,2590,-78.52502096,35.95329016,M
1307143,04092018194,Alpha Dawgs,6209 ROCK QUARRY RD,,RALEIGH,NC,27610,(984) 200-5637,2019/10/08 00:00:00+00,Restaurant,2598,-78.54796019,35.72312495,M
1307144,04092018481,Aladdin's Eatery,8201 Brier Creek  PKY ,Ste 107,RALEIGH,NC,27617,(919) 806-5700,2020/11/06 00:00:00+00,Restaurant,2602,-78.78334742,35.90685073,M
1307145,04092012896,CITY CLUB RALEIGH,150 Fayetteville St,Suite 2800,RALEIGH,NC,27601,(919) 834-8829,1999/03/04 00:00:00+00,Restaurant,2617,-78.63970962,35.77872217,M
1307146,04092012901,Links Grille At Lochmere,2511 KILDAIRE FARM RD,,CARY,NC,27511-9611,(919) 851-0611,1999/03/29 00:00:00+00,Restaurant,2618,-78.76802116,35.72297677,M
1307147,04092016959,SHERATON RALEIGH KITCHEN/JIMMY V'S OSTERIA & BAR,421 S SALISBURY ST ,,RALEIGH,NC,27601,(919) 834-9900,2015/07/07 00:00:00+00,Restaurant,2629,-78.6399062,35.77493479,M
1307148,04092016091,ENRIGO ITALIAN BISTRO,575 New Waverly PL ,STE 106,CARY,NC,27518,(919) 854-7731,2012/01/25 00:00:00+00,Restaurant,2632,-78.77756307,35.73853619,M
1307149,04092017032,LOS TRES MAGUEYES,995 AIRPORT BLVD ,,MORRISVILLE,NC,27560,(919) 465-0217,2015/09/22 00:00:00+00,Restaurant,2634,-78.82030893,35.85954625,M
1307150,04092021628,FOOD LION #2196 MEAT MARKET/SEAFOOD,3609 DAVIS DR ,,MORRISVILLE,NC,27560,(919) 469-4195,2010/09/10 00:00:00+00,Food Stand,2635,-78.84918533,35.82217686,M
1307151,04092012954,Vic's Italian Cafe,331 BLAKE ST ,,RALEIGH,NC,27601-1801,(919) 829-7090,1999/06/30 00:00:00+00,Restaurant,2641,-78.63563104,35.77592649,M
1307152,04092020878,Han-Dee Hugo's #62,10550 DURANT RD ,,RALEIGH,NC,27614-9478,(919) 518-2474,1999/05/21 00:00:00+00,Food Stand,2646,-78.59030503,35.90565755,M
1307153,04092025346,Chopsticks & Forks @ MSFH,411 W Morgan ST ,,RALEIGH,NC,27603,(919) 673-8181,2021/03/10 00:00:00+00,Food Stand,2649,-78.6456917,35.77945516,M
1307154,04092015960,CAMBRIDGE VILLAGE DINING,10000 Cambridge Village Loop,,APEX,NC,27502,(919) 363-2080,2011/05/10 00:00:00+00,Restaurant,2661,-78.84579127,35.71810568,M
1307155,04092011949,O'Malley's Tavern,5228 HOLLYRIDGE DR ,,RALEIGH,NC,27612-3114,(919) 787-1234,1996/10/14 00:00:00+00,Restaurant,2672,-78.70051587,35.85321466,M
1307156,04092018499,The Produce Box @TKA,2161 S Wilmington ST ,,Raleigh,NC,27603,(919) 904-4722,2020/11/02 00:00:00+00,Food Stand,2657,-78.64171063,35.75324624,M
1307157,04092018047,J & S NEW YORK,2025 RENNAISANCE PARK PL ,,CARY,NC,27513,,2019/02/04 00:00:00+00,Restaurant,2679,-78.77209428,35.82791688,M
1307158,04092021984,SPEEDY BURRITOS,5959-1100 TRIANGLE TOWN BLVD ,,RALEIGH,NC,27616,(919) 792-2923,2016/10/05 00:00:00+00,Food Stand,2676,-78.57159163,35.86546307,M
1307159,04092021846,FOOD LION #586 PRODUCE,3416 POOLE RD ,,RALEIGH,NC,27610,(919) 231-6202,2015/04/24 00:00:00+00,Food Stand,2680,-78.57953261,35.76724571,M
1307160,04092021586,HARRIS TEETER #331 MEAT/SEAFOOD,3430 TEN TEN RD ,,CARY,NC,27518,(919) 387-8272,2009/09/24 00:00:00+00,Food Stand,2688,-78.79278417,35.70189107,M
1307161,04092018273,PandyaNad,4325 GLENWOOD AVE,,RALEIGH,NC,27612,(919) 615-2063,2019/12/12 00:00:00+00,Food Stand,2694,-78.68184484,35.84183815,T
1307162,04092021649,HARRIS TEETER #353 PRODUCE,13686 CAPITAL  BLVD ,,WAKE FOREST,NC,27587,(919) 554-3608,2011/02/04 00:00:00+00,Food Stand,2695,-78.51867461,36.00548951,M
1307163,04092017516,PANERA BREAD #1938,11665 NORTHPARK DR ,,WAKE FOREST,NC,27587,(919) 263-6176,2017/01/31 00:00:00+00,Restaurant,2711,-78.54383057,35.96466469,M
1307164,04092025321,Publix #1652 Produce,417 W PEACE ST,100,RALEIGH,NC,27603-5017,(919) 755-5444,2020/09/02 00:00:00+00,Food Stand,2712,-78.64490127,35.78789475,M
1307165,04092018469,Moomoo Cha,1350 Fifth AVE ,,GARNER,NC,27529,(919) 322-2127,2020/10/22 00:00:00+00,Restaurant,2716,-78.6218586,35.70948463,M
1307166,04092110113,DILLARD DRIVE ELEMENTARY SCHOOL CAFETERIA,5018 DILLARD DR,,RALEIGH,NC,27606-4114,(919) 233-4200 ext. 22722,1999/01/13 00:00:00+00,Public School Lunchrooms,2727,-78.72360796,35.7535337,M
1307167,04092021705,EMPIRE EATS CATERING KITCHEN,415 ROYAL ST ,,RALEIGH,NC,27607,(919) 600-3688,2012/05/10 00:00:00+00,Food Stand,2728,-78.68760571,35.7936591,M
1307168,04092016693,HONEY BAKED HAM COMPANY #103,5275 SIX FORKS RD ,,RALEIGH,NC,27609,(919) 787-0655,2014/05/01 00:00:00+00,Restaurant,2729,-78.64315826,35.85330887,M
1307169,04092018274,The Cypress of Raleigh Club Main Kitchen,8801 Cypress Lakes DR ,,RALEIGH,NC,27615,(919) 518-8923,2019/12/17 00:00:00+00,Restaurant,2731,-78.66056363,35.90013964,M
1307170,04092021853,"LOWES FOODS #190 SEAFOOD, MEAT, & SAUSAGE",930 HIGH HOUSE RD,,CARY,NC,27513-3574,(919) 467-4441,2015/06/08 00:00:00+00,Food Stand,2742,-78.82691458,35.788417,M
1307171,04092110041,Vance Elem. School Cafeteria,8808 OLD STAGE RD ,,RALEIGH,NC,27603-9533,(919) 662-2482,1991/04/03 00:00:00+00,Public School Lunchrooms,2752,-78.66853911,35.65532739,M
1307172,04092015033,Jersey Mikes Subs,1121-105 Falls River AVE ,,RALEIGH,NC,27614,(919) 848-4343,2007/12/12 00:00:00+00,Restaurant,2743,-78.58829014,35.90616936,M
1307173,04092110099,Oak Grove Elem. Sch Cafeteria,10401 Penny Rd,,RALEIGH,NC,27606,(919) 387-4490 ext. 22932,1995/07/21 00:00:00+00,Public School Lunchrooms,2757,-78.78318651,35.71359912,M
1307174,04092020868,Circle K #8610,4713 NEW BERN AVE ,,RALEIGH,NC,27610-1437,(919) 212-0101,1999/03/04 00:00:00+00,Food Stand,2776,-78.55690674,35.79848742,M
1307175,04092018534,Waffle House #725,2624 WESTINGHOUSE BLVD,,RALEIGH,NC,27604,(919) 833-5954,2021/02/16 00:00:00+00,Restaurant,2785,-78.59823562,35.81659394,M
1307176,04092018038,Jersey Mike's Subs #3181,4205 Corners PKY ,Suite 130,RALEIGH,NC,27617,(919) 999-1539,2019/01/24 00:00:00+00,Restaurant,2832,-78.78791806,35.91890974,M
1307177,04092012900,Los Tres Vaqueros,7909-109 FALLS OF NEUSE RD ,,RALEIGH,NC,27615-3348,(919) 846-6666,1999/03/26 00:00:00+00,Restaurant,2797,-78.62697433,35.89197359,M
1307178,04092011940,Daniels Restaurant & Catering,1430 W WILLIAMS ST ,,APEX,NC,27523-9300,(919) 303-1006,1996/10/07 00:00:00+00,Restaurant,2859,-78.87657249,35.75245638,M
1307179,04092010287,Glenwood Grill,2603-151 Glenwood Ave ,,RALEIGH,NC,27608,(919) 782-3102,1991/03/18 00:00:00+00,Restaurant,2850,-78.6604672,35.81647745,M
1307180,04092010052,BB`s Grill,2950  42 HWY ,,WILLOW SPRING,NC,27592-7810,(919) 524-2835,1991/04/02 00:00:00+00,Restaurant,2852,-78.69231812,35.59159967,M
1307181,04092018506,Shanghai Alley,1148 KILDAIRE FARM RD,,CARY,NC,27511,(919) 380-2900,2020/12/17 00:00:00+00,Restaurant,2882,-78.78364268,35.76558405,M
1307182,04092021948,Circle K #23118,919 DURHAM RD ,,WAKE FOREST,NC,27587,(919) 562-7823,2016/03/02 00:00:00+00,Food Stand,2885,-78.54189381,35.97777466,M
1307183,04092016332,ASIAN GARDEN,242 GRANDE HEIGHTS DR ,,CARY,NC,27513,(919) 462-8598,2012/12/27 00:00:00+00,Restaurant,2889,-78.7805746,35.804703,M
1307184,04092018035,Guasaca,2512-110 Hillsborough ST ,,RALEIGH,NC,27607,(919) 210-6838,2019/01/25 00:00:00+00,Restaurant,2883,-78.66868226,35.78794811,M
1307185,04092110042,North Garner Middle Sch. Caf.,720 POWELL DR,,GARNER,NC,27529-3128,(919) 662-2434 ext. 21388,1991/04/03 00:00:00+00,Public School Lunchrooms,2893,-78.61177661,35.71602556,M
1307186,04092018312,Noodle Boulevard,1718 WALNUT ST,,CARY,NC,27511,(919) 678-1199,2020/01/30 00:00:00+00,Restaurant,2902,-78.747188,35.76300175,M
1307187,04092012051,La Rancherita,102 N SALEM ST ,,APEX,NC,27502-1428,(919) 303-2448,1997/05/06 00:00:00+00,Restaurant,2917,-78.85126459,35.73076866,M
1307188,04092090009,Morrisville Meals On Wheels,922 CHURCH ST,,MORRISVILLE,NC,27560-8729,(919) 467-7186,1994/06/29 00:00:00+00,Elderly Nutrition Sites (catered),2920,-78.84266402,35.85142617,M
1307189,04092016174,RIDGEWOOD WINE & BEER CO.,1214 RIDGE RD ,,RALEIGH,NC,27607,(919) 832-5232,2012/05/09 00:00:00+00,Restaurant,2943,-78.68558086,35.80212022,M
1307190,04092110119,Wakefield High School Cafeteria,2200 Wakefield Pines Dr,,RALEIGH,NC,27614,(919) 562-3635,1999/08/12 00:00:00+00,Public School Lunchrooms,2922,-78.56956472,35.94935929,M
1307191,04092025337,Bul Box North Hills,4421 Six Forks RD ,Suite 116 A,RALEIGH,NC,27609,(984) 200-3654,2021/01/11 00:00:00+00,Food Stand,2945,-78.64349886,35.84017418,M
1307192,04092021873,FOOD LION #1514 MEAT/SEAFOOD,9567 CHAPEL HILL RD ,,MORRISVILLE,NC,27560,(919) 462-1542,2015/08/31 00:00:00+00,Food Stand,2950,-78.81120699,35.8045716,M
1307193,04092020819,Papa John's Pizza #1406,109 Vandora Springs RD ,,GARNER,NC,27529,(919) 661-0707,1997/10/31 00:00:00+00,Food Stand,2955,-78.62029775,35.71171636,M
1307194,04092020030,Char-Grill #1,618 HILLSBOROUGH ST,,RALEIGH,NC,27603-1732,(919) 821-7636,1991/03/19 00:00:00+00,Food Stand,2964,-78.64851504,35.78110364,M
1307195,04092010649,brb,118 E SOUTH ST,,RALEIGH,NC,27601-2341,(919) 836-8817,1991/04/03 00:00:00+00,Restaurant,2970,-78.63776537,35.7707838,M
1307196,04092010760,Toot N Tell Restaurant,903 W GARNER RD ,,GARNER,NC,27529-3007,(919) 772-2616,1991/04/03 00:00:00+00,Restaurant,2971,-78.61488027,35.71121284,T
1307197,04092011206,Education Bldg. Snack Bar,301 N Wilmington St,,RALEIGH,NC,27601-1058,(919) 733-3329,1993/01/20 00:00:00+00,Restaurant,2982,-78.63881833,35.78561791,M
1307198,04092030493,Carnes 504 (WCID #782),2201 S WILMINGTON ST,,RALEIGH,NC,27603-2559,(919) 903-4811,2020/09/10 00:00:00+00,Mobile Food Units,2990,-78.63902655,35.752054,M
1307199,04092011568,Boston Market,1397 KILDAIRE FARM RD ,,CARY,NC,27511-5525,(919) 319-3818,1994/10/06 00:00:00+00,Restaurant,3026,-78.78269904,35.75842047,M
1307200,04092016684,CHINA QUEEN,2233-103 AVENT FERRY RD ,,RALEIGH,NC,27606,(919) 832-8882,2014/05/16 00:00:00+00,Restaurant,2996,-78.6777461,35.7779645,M
1307201,04092110106,West Cary Middle Sch.Cafeteria,1000 EVANS RD ,,CARY,NC,27513-3111,(919) 460-3528 ext. 21344,1996/08/23 00:00:00+00,Public School Lunchrooms,3030,-78.79252834,35.80255288,M
1307202,04092110496,ROLESVILLE MIDDLE SCHOOL CAFE,4700 BURLINGTON MILLS RD ,,ROLESVILLE,NC,27571,(919) 570-2260 ext. 20288,2012/03/07 00:00:00+00,Public School Lunchrooms,3036,-78.48080273,35.9142912,M
1307203,04092021916,FOOD LION #561 PRODUCE,217 TIMBER DR ,,GARNER,NC,27529,(919) 779-5551,2015/11/12 00:00:00+00,Food Stand,3037,-78.60613102,35.68500723,M
1307204,04092021914,FOOD LION #996 PRODUCE,7971 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 772-0317,2015/11/12 00:00:00+00,Food Stand,3038,-78.69742539,35.66508155,M
1307205,04092025264,Rush Bowl Raleigh,2811 HILLSBOROUGH ST ,105,RALEIGH,NC,27607-7283,(919) 703-0006,2019/07/01 00:00:00+00,Food Stand,3049,-78.67493842,35.78888931,M
1307206,04092021929,CIRCLE  K #3488,1032 N HARRISON  AVE ,,CARY,NC,27513,(919) 468-9848,2016/02/26 00:00:00+00,Food Stand,3050,-78.7823636,35.80445646,M
1307207,04092018211,Town Hall Burger and Beer of Holly Springs,301 MATTHEWS DR,,HOLLY SPRINGS,NC,27540,,2019/10/30 00:00:00+00,Restaurant,3059,-78.79440661,35.66435998,M
1307208,04092020122,Han-Dee Hugo's #41,103 SW MAYNARD RD,,CARY,NC,27511-4401,(919) 467-8963,1991/05/06 00:00:00+00,Food Stand,3066,-78.78225534,35.77097318,M
1307209,04092017466,POPEYES #12346,7120 KNIGHTDALE BLVD ,,KNIGHTDALE,NC,27545,(919) 880-6912,2016/11/29 00:00:00+00,Restaurant,3069,-78.49001904,35.79780164,M
1307210,04092021867,FOOD LION #1374 PRODUCE,9525 STRICKLAND RD ,,RALEIGH,NC,27615,(919) 676-0141,2015/08/25 00:00:00+00,Food Stand,3070,-78.65461142,35.89932701,M
1307211,04092015886,SUBWAY #33002,7106 KNIGHTDALE BLVD ,,KNIGHTDALE,NC,27545,(919) 261-0406,2011/01/24 00:00:00+00,Restaurant,3087,-78.49110797,35.79651289,M
1307212,04092021832,HARRIS TEETER #319 DELI,2051 W. MILLBROOK ROAD,,RALEIGH,NC,27612,(919) 787-1364,2015/02/13 00:00:00+00,Food Stand,3088,-78.67971393,35.85737248,M
1307213,04092025306,Pizza Hut 06316,6330 ROGERS RD,,ROLESVILLE,NC,27571,(984) 237-0021,2020/01/24 00:00:00+00,Food Stand,3091,-78.46695569,35.92118294,M
1307214,04092018305,Miso Ramen,970 HIGH HOUSE RD,,CARY,NC,27513,(984) 333-0110,2020/01/27 00:00:00+00,Restaurant,3092,-78.82691458,35.788417,M
1307215,04092016964,SUBWAY #42484,3429 N MAIN ST ,,FUQUAY-VARINA,NC,27526,(919) 762-0521,2015/06/18 00:00:00+00,Restaurant,3101,-78.7258865,35.62516136,M
1307216,04092011988,Brigs At The Crossing Restaurant,1225 NW MAYNARD RD ,,CARY,NC,27513-8720,(919) 481-9300,1996/12/31 00:00:00+00,Restaurant,3104,-78.81241463,35.78438636,M
1307217,04092010073,Bojangles #12,3808 WESTERN BLVD ,,RALEIGH,NC,27606,(919) 664-8613,1991/03/18 00:00:00+00,Restaurant,3105,-78.68874189,35.78520361,M
1307218,04092016509,TACO BELL #29283,1108 MORRISVILLE CARPENTER RD ,,MORRISVILLE,NC,27560,(919) 377-0226,2013/09/17 00:00:00+00,Restaurant,3096,0,0,U
1307219,04092022028,PAPA MURPHY'S NC049,6106 FALLS OF NEUSE RD ,,RALEIGH,NC,27609,(919) 790-7813,2017/08/09 00:00:00+00,Food Stand,3122,-78.6187408,35.86627943,M
1307220,04092016087,YAMATO,700 E WILLIAMS ST ,,APEX,NC,27502,(919) 303-8088,2012/01/17 00:00:00+00,Restaurant,3123,-78.84651301,35.7236133,M
1307221,04092030286,JESSICA'S (WCID #540),10125 DIVISION DR ,Mobile Food Unit,RALEIGH,NC,27603,(919) 687-6420,2015/09/21 00:00:00+00,Mobile Food Units,3125,-78.7114342,35.63398295,M
1307222,04092020035,Circle K #8620,4100 WESTERN Blv ,,RALEIGH,NC,27606-1963,(919) 851-1050,1992/09/17 00:00:00+00,Food Stand,3134,-78.69423692,35.78457615,M
1307223,04092017805,NY Bagel,301 Glenwood AVE ,Suite 180,RALEIGH,NC,27603,(919) 615-1054,2018/03/08 00:00:00+00,Restaurant,3145,-78.64802957,35.784569,M
1307224,04092030345,MR. PUEBLA TACOS (WCID #603),6925 OLD WAKE FOREST RD ,,RALEIGH,NC,27616,(919) 208-3730,2017/08/18 00:00:00+00,Mobile Food Units,3149,-78.58556165,35.86996942,M
1307225,04092021997,H Mart Seafood Department,1961 High House RD ,,CARY,NC,27519,(919) 535-5900,2016/12/22 00:00:00+00,Food Stand,3159,-78.84865444,35.78921622,M
1307226,04092017983,JJ Cafe,2143 TEN TEN RD ,,APEX,NC,27539,(919) 367-8686,2018/11/26 00:00:00+00,Restaurant,3167,-78.81811355,35.72082607,M
1307227,04092013461,Pine Hollow Golf Club Food Service,3300 GARNER RD ,,CLAYTON,NC,27520-9306,(919) 553-4554,2001/11/30 00:00:00+00,Restaurant,3153,-78.50626539,35.67653726,M
1307228,04092017775,Dominos #8903,1183 W Chatham ST ,,CARY,NC,27518,(919) 467-4222,2018/01/10 00:00:00+00,Restaurant,3174,-78.80690314,35.77079471,M
1307229,04092017071,PERI BROTHERS PIZZA,7321 SIX FORKS RD ,,RALEIGH,NC,27615,(919) 844-6692,2015/11/06 00:00:00+00,Restaurant,3185,-78.64725808,35.88069032,M
1307230,04092030294,The Naked Empanada (WCID #542),218 S WHITE ST ,,WAKE FOREST,NC,27587,(919) 609-5725,2015/11/18 00:00:00+00,Mobile Food Units,3202,-78.51016553,35.97750081,M
1307231,04092017492,VIDRIO,500 GLENWOOD AVE ,SUITE 100,RALEIGH,NC,27603,(919) 803-6033,2016/12/16 00:00:00+00,Restaurant,3210,-78.64701998,35.78656832,M
1307232,04092018480,Carnitas La Barca,2259 New Hope Church RD ,,RALEIGH,NC,27604,(919) 636-1182,2020/11/06 00:00:00+00,Restaurant,3212,-78.60062749,35.83624718,M
1307233,04092010548,William Peace University Cafeteria,15 E Peace St ,,RALEIGH,NC,27604-1176,(919) 508-2342,1991/04/29 00:00:00+00,Restaurant,3235,-78.63745249,35.78928549,M
1307234,04092018032,TACO BELL #34556,4004 Capital BLVD ,,RALEIGH,NC,27604,(919) 872-9020,2019/01/18 00:00:00+00,Restaurant,3241,-78.58146313,35.83563234,M
1307235,04092018370,Jonathan's Sports Lounge & Grill,3400 New Birch DR ,,RALEIGH,NC,27610,(919) 692-5095,2020/05/21 00:00:00+00,Restaurant,3243,-78.59862151,35.74660149,M
1307236,04092020145,Caspian International Food Mart,2909 Brentwood Rd ,,RALEIGH,NC,27604,(919) 954-0029,1991/05/08 00:00:00+00,Food Stand,3259,-78.59681384,35.81969751,M
1307237,04092011967,Agriculture Bldg. Snack Bar,2 W EDENTON ST,,RALEIGH,NC,27601-1020,(919) 733-7203,1996/11/19 00:00:00+00,Restaurant,3264,-78.63947115,35.78162018,M
1307238,04092012937,Pf Changs Restaurant,4325 Glenwood AVE ,Suite 2089,RALEIGH,NC,27612,(919) 787-7754,1999/06/08 00:00:00+00,Restaurant,3268,-78.68184484,35.84183815,T
1307239,04092110487,ALSTON RIDGE ELEMENTARY SCHOOL CAFETERIA,11555 GREEN LEVEL CHURCH  RD ,,CARY,NC,27519,(919) 544-2474 ext. 20151,2009/11/13 00:00:00+00,Public School Lunchrooms,3291,-78.89958886,35.85921379,M
1307240,04092018040,First Watch Daytime Cafe #580,2808-105 Rogers RD ,,WAKE FOREST,NC,27587,(919) 569-5763,2019/01/18 00:00:00+00,Restaurant,3278,-78.52664419,35.95337257,M
1307241,04092017462,JASMIN MEDITERRANEAN BISTRO,2501 BLUE RIDGE RD ,SUITE G-190,RALEIGH,NC,27607,(919) 800-8599,2016/11/09 00:00:00+00,Restaurant,3292,-78.70656515,35.81500557,M
1307242,04092017033,LONGHORN 5556,300 CONSERVATION RD ,,GARNER,NC,27529,(919) 772-7707,2015/09/17 00:00:00+00,Restaurant,3301,-78.58232283,35.69664726,M
1307243,04092016089,OVER THE FALLS,419 S BROOKS ST ,,WAKE FOREST,NC,27587,(919) 570-8588,2012/01/20 00:00:00+00,Restaurant,3300,-78.50993609,35.9738265,M
1307244,04092017790,Southland Steakhouse,1007  Shepard School Rd,,ZEBULON,NC,27597,(919) 375-4783,2018/02/21 00:00:00+00,Restaurant,3303,-78.31427362,35.83238402,M
1307245,04092017554,KIWI CAFE AND SMOOTHIES,11211 GALLERIA AVE ,UNIT 103,RALEIGH,NC,27614,(919) 570-5001,2017/03/15 00:00:00+00,Restaurant,3304,-78.54331441,35.94865826,M
1307246,04092010262,First Baptist Church,99 N SALISBURY ST ,,RALEIGH,NC,27603-1737,(919) 961-5953,1991/04/25 00:00:00+00,Restaurant,3327,-78.6407387,35.7809656,M
1307247,04092010065,Biscuitville,2426 Wake Forest Rd,,RALEIGH,NC,27608-1710,(919) 821-2060,1991/04/29 00:00:00+00,Restaurant,3328,-78.62569015,35.81542604,M
1307248,04092110025,Wake Forest Middle Cafeteria,1800 S MAIN ST ,,WAKE FOREST,NC,27587-9288,(919) 554-8440 ext. 22410,1991/05/01 00:00:00+00,Public School Lunchrooms,3334,-78.5298414,35.95436039,M
1307249,04092012200,N.Y.Pizza,6458 TRYON RD,,CARY,NC,27518,(919) 852-2242,1998/02/05 00:00:00+00,Restaurant,3359,-78.7615544,35.74559939,M
1307250,04092110003,Broughton High Cafeteria,723 SAINT MARYS ST ,,RALEIGH,NC,27605-1424,(919) 856-7810 ext. 23266,1991/09/16 00:00:00+00,Public School Lunchrooms,3374,-78.65350233,35.79075859,M
1307251,04092020869,Domino's Pizza # 7487,1121 -104 Falls River Ave ,,RALEIGH,NC,27614,(919) 870-1155,1999/03/29 00:00:00+00,Food Stand,3336,-78.58829014,35.90616936,M
1307252,04092110005,Farmington Woods Elem. Cafeteria,1413 HAMPTON VALLEY RD ,,CARY,NC,27511-4548,(919) 460-3476,1991/09/17 00:00:00+00,Public School Lunchrooms,3378,-78.77460084,35.7579383,M
1307253,04092020040,Circle K # 8621,4400 Louisburg Rd,,RALEIGH,NC,27616-4335,(919) 790-9099,1991/05/07 00:00:00+00,Food Stand,3393,-78.57305684,35.84255138,M
1307254,04092018215,Which Wich #280,413 WOODBURN RD ,,RALEIGH,NC,27605,(919) 833-9424,2019/11/04 00:00:00+00,Restaurant,3404,-78.66025735,35.7899673,M
1307255,04092030471,The Blue Window (WCID #759),10125 DIVISION DR,,RALEIGH,NC,27603-5664,(984) 777-0379,2020/03/19 00:00:00+00,Mobile Food Units,3407,-78.7114342,35.63398295,M
1307256,04092110085,Lynn Road Elem. Cafeteria,1601 LYNN RD ,,RALEIGH,NC,27612-6820,(919) 870-4074 ext. 20860,1991/09/17 00:00:00+00,Public School Lunchrooms,3414,-78.66786984,35.87032502,M
1307257,04092030391,Corner Boys BBQ (WCID #676),2161 S Wilmington  ST ,,RALEIGH,NC,27603,(919) 889-3882,2019/01/31 00:00:00+00,Mobile Food Units,3410,-78.64171063,35.75324624,M
1307258,04092011415,Neomonde Mediterranean,3817 BERYL RD,,RALEIGH,NC,27607-5244,(919) 828-1628,1991/04/23 00:00:00+00,Restaurant,3426,-78.69018874,35.79325102,M
1307259,04092018116,Mason's Famous Lobster Rolls,4121 MAIN AT NORTH HILLS ST,Suite 100,RALEIGH,NC,27609-5756,(984) 200-1845,2019/06/19 00:00:00+00,Restaurant,3434,-78.64323049,35.83718561,M
1307260,04092025195,Bella's Wood Fired Pizza @ MSFH,411 W Morgan ST ,,RALEIGH,NC,27603,(724) 350-5969,2018/08/01 00:00:00+00,Food Stand,3458,-78.6456917,35.77945516,M
1307261,04092016334,UNITED SKATES CAFE,2901 TRAWICK RD ,,RALEIGH,NC,27604-3754,(919) 790-3808,2013/01/08 00:00:00+00,Restaurant,3465,-78.58934619,35.82027864,M
1307262,04092010069,Bojangles # 2,4405 FALLS OF NEUSE RD ,,RALEIGH,NC,27609-6201,(919) 876-7363,1991/05/02 00:00:00+00,Restaurant,3469,-78.61244468,35.84129134,M
1307263,04092010204,Dallas Fried Chicken,1101 E WILLIAMS ST ,,APEX,NC,27502-2162,(919) 362-0051,1991/05/03 00:00:00+00,Restaurant,3471,-78.8432412,35.72049646,M
1307264,04092017897,SUBWAY #881,5563 WESTERN BLVD ,STE 8-B,RALEIGH,NC,27606-1595,(919) 859-1957,2018/08/09 00:00:00+00,Restaurant,3478,-78.72051017,35.78412594,M
1307265,04092017572,PENN STATION #251,1013 MARKET CENTER DR ,,MORRISVILLE,NC,27560,(919) 388-3368,2017/04/19 00:00:00+00,Restaurant,3481,-78.81676023,35.80454378,M
1307266,04092020102,Fresh Market Deli,400 WOODBURN RD ,,RALEIGH,NC,27605-1324,(919) 828-7888,1991/03/19 00:00:00+00,Food Stand,3485,-78.65855965,35.78994083,M
1307267,04092010648,Shaw University Cafeteria,118 E SOUTH ST ,,RALEIGH,NC,27601-2341,(919) 899-6598,1991/04/03 00:00:00+00,Restaurant,3488,-78.63776537,35.7707838,M
1307268,04092020119,Han-Dee Hugo's #43,3400 BENSON RD ,,GARNER,NC,27529-9300,(919) 662-1825,1991/04/03 00:00:00+00,Food Stand,3489,-78.61404764,35.63545738,M
1307269,04092016439,RANDY'S PIZZA,2458 WYCLIFF RD ,,RALEIGH,NC,27607,(919) 322-5990,2013/05/31 00:00:00+00,Restaurant,3498,-78.692995,35.81676997,M
1307270,04092050012,Word Of God Church School Cafeteria,3000 ROCK QUARRY RD ,,RALEIGH,NC,27610-5110,(919) 834-1141,1993/09/24 00:00:00+00,Private School Lunchrooms,3555,-78.59788519,35.74540122,M
1307271,04092025300,Pizza Hut Delivery,424-113 E Six Forks RD ,,RALEIGH,NC,27609,(919) 828-7808,2019/12/04 00:00:00+00,Food Stand,3476,-78.62512777,35.82006259,M
1307272,04092010495,Milton's Pizza House,8853 SIX FORKS RD ,,RALEIGH,NC,27615-2970,(919) 847-0604,1991/05/09 00:00:00+00,Restaurant,3569,-78.65461142,35.89932701,M
1307273,04092110066,Fuquay Elementary Cafeteria,6600 JOHNSON POND RD ,,FUQUAY VARINA,NC,27526-9036,(919) 557-2578,1991/09/16 00:00:00+00,Public School Lunchrooms,3570,-78.75816353,35.60302894,M
1307274,04092010082,Brigs,8111 CREEDMOOR RD ,,RALEIGH,NC,27613-4389,(919) 870-0994,1991/05/03 00:00:00+00,Restaurant,3580,-78.68248786,35.89850336,M
1307275,04092011108,Margauxs,8111 CREEDMOOR RD ,,RALEIGH,NC,27613-4389,(919) 846-9846,1993/03/18 00:00:00+00,Restaurant,3589,-78.68248786,35.89850336,M
1307276,04092016331,SUBWAY #55675,234 FAYETTEVILLE  ST ,,RALEIGH,NC,27601,(919) 615-2670,2012/12/21 00:00:00+00,Restaurant,3595,-78.63956988,35.77712711,M
